Date,Footfall
02/10/2021,21
03/10/2021,22
04/10/2021,34
05/10/2021,30
06/10/2021,29
07/10/2021,31
08/10/2021,26
09/10/2021,28
10/10/2021,24
11/10/2021,34
12/10/2021,30
13/10/2021,30
14/10/2021,30
15/10/2021,26
16/10/2021,26
17/10/2021,28
18/10/2021,39
19/10/2021,0
20/10/2021,26
21/10/2021,30
22/10/2021,25
23/10/2021,24
24/10/2021,21
25/10/2021,30
26/10/2021,24
27/10/2021,27
28/10/2021,29
29/10/2021,21
30/10/2021,6
31/10/2021,28
01/11/2021,31
02/11/2021,28
03/11/2021,29
04/11/2021,32
05/11/2021,28
06/11/2021,28
07/11/2021,31
08/11/2021,33
09/11/2021,31
10/11/2021,29
11/11/2021,27
12/11/2021,4
13/11/2021,27
14/11/2021,31
15/11/2021,34
16/11/2021,31
17/11/2021,29
18/11/2021,32
19/11/2021,29
20/11/2021,28
21/11/2021,32
22/11/2021,33
23/11/2021,31
