Date,Footfall
01/09/2021,36
02/09/2021,37
03/09/2021,34
04/09/2021,3
05/09/2021,9
06/09/2021,36
07/09/2021,32
08/09/2021,33
09/09/2021,35
10/09/2021,36
11/09/2021,7
12/09/2021,15
13/09/2021,43
14/09/2021,34
15/09/2021,34
16/09/2021,35
17/09/2021,33
18/09/2021,21
19/09/2021,14
20/09/2021,44
21/09/2021,40
22/09/2021,39
23/09/2021,41
24/09/2021,36
25/09/2021,27
26/09/2021,15
27/09/2021,41
28/09/2021,33
29/09/2021,35
30/09/2021,39
01/10/2021,38
02/10/2021,35
03/10/2021,25
04/10/2021,51
05/10/2021,44
06/10/2021,44
07/10/2021,45
08/10/2021,41
09/10/2021,37
10/10/2021,27
11/10/2021,50
12/10/2021,43
13/10/2021,44
14/10/2021,45
15/10/2021,43
16/10/2021,37
17/10/2021,33
18/10/2021,52
19/10/2021,14
20/10/2021,47
21/10/2021,47
22/10/2021,44
23/10/2021,37
24/10/2021,28
25/10/2021,49
26/10/2021,42
27/10/2021,44
28/10/2021,47
29/10/2021,43
30/10/2021,42
31/10/2021,42
01/11/2021,54
02/11/2021,49
03/11/2021,49
04/11/2021,53
05/11/2021,51
06/11/2021,48
07/11/2021,45
08/11/2021,20
09/11/2021,51
10/11/2021,50
11/11/2021,47
12/11/2021,50
13/11/2021,45
14/11/2021,44
15/11/2021,21
16/11/2021,50
17/11/2021,50
18/11/2021,53
19/11/2021,49
20/11/2021,43
21/11/2021,46
22/11/2021,53
23/11/2021,47
